text,selected_text,sentiment
 I feel like a Truck just hit me too! I also Resemble a man hit by a truck!,I feel like a Truck just hit me too!,negative
"booziest weekend in a long time, good fun though!",good fun,positive
  lo siento but I dint have enough room =/,lo siento but I dint have enough room =/,neutral
 flo can spell antidisestablishmentarianism off the top of her head. wait i just did,flo can spell antidisestablishmentarianism off the top of her head. wait i just did,neutral
" woof, I wish I was allowed to go",I wish I was allowed to go,positive
"Dadgum, I think this nations shipping needs have shut down completely. still no freight for carriers out there.","Dadgum, I think this nations shipping needs have shut down completely. still no freight for carriers out there.",neutral
 I hope you feel better soon,I hope you feel better soon,positive
The sun is out here in Melbourne! Happy Mothers Day to all the mums out there,Happy,positive
" My first thought too, I`ve never even watched Dragonball","My first thought too, I`ve never even watched Dragonball",neutral
 Great Podcast!  I wish you guys had more Chi shows this summer.  The only times I will see you will be at Alpine,I wish,positive
" awww, I hates it wen families are brokun up by humuns. Maybee you see him agin wun day.",hates,negative
" hi my love! Im ok, just trying to get thru these finals, they`re going to be the DEATH of me. how are you","hi my love! Im ok, just trying to get thru these finals, they`re going to be the DEATH of me. how are you",neutral
May the 4th Be with you all!,May the 4th Be with you all!,neutral
Fun at the water park then dinner at the rainforest cafe (all free!) then party tonight  pretty good Saturday I think.,pretty good Saturday,positive
"Off to the shelters around me to look for her.  I hope she is okay, so afraid that she is going to get hit by a car. Can`t stop crying","Off to the shelters around me to look for her.  I hope she is okay, so afraid that she is going to get hit by a car. Can`t stop crying",neutral
My tummy hurts  go away cramps! I hate chuu!!!!,hurts,negative
 Really worth watching at the cinema.  Mum really enjoyed it,Really worth watching at the cinema.  Mum really enjoyed,positive
"bf moves to the city tomorrow. Currently he lives down the st.  Sadness.  He will be far away  (not TOO far, but not down the street )",Sadness.,negative
About to have lunch with _Deakin meeting with the Prof didnt go too badly,didnt go too badly,positive
 You are extremely clever my dear.,e extremely clever,positive
 3000 then ya up with me my friend ... i type too much,3000 then ya up with me my friend ... i type too much,neutral
my arms hurt!,my arms hurt!,negative
 ive been there before  haha,haha,positive
 I want to chat with you in Im some day.,I want,positive
" I always told my kids that I see and hear everything so mind your manors, so I guess that proved it to him.","I always told my kids that I see and hear everything so mind your manors, so I guess that proved it to him.",neutral
My husband just went fishing   How come knitting keeps you at home?  I need a lady hobby that lets me get out of cooking.,My husband just went fishing   How come knitting keeps you at home?  I need a lady hobby that lets me get out of cooking.,neutral
2 more days till half term is over,2 more days till half term is over,neutral
 ahhh...Lily`s new kitten just took a giant wet stinky **** on me,giant wet stinky **** on me,negative
 haiiii sankQ i`m fineee ima js get a checkup cos my rib hurts LOL idk but i shall be fine ~ thanks,haiiii sankQ i`m fineee ima js get a checkup cos my rib hurts LOL idk but i shall be fine ~ thanks,neutral
 I feel your pain... dont you hate those days,I feel your pain... dont you hate those days,neutral
At home about to go to sleep! Goodnight twitter world!,Goodnight twitter world!,positive
Good day all. Let`s see what we can get accomplished today together.,Good,positive
 haha check out our site its got some good ones too,good,positive
hanging with Bri,hanging with Bri,neutral
" I`m in an 8 now too, but b4 I had kids I was a 6.5! Darn babies making my feet grow","I`m in an 8 now too, but b4 I had kids I was a 6.5! Darn babies making my feet grow",neutral
 what kind of food Celli? I`m following you now,what kind of food Celli? I`m following you now,neutral
just woke up from a nap...,just woke up from a nap...,neutral
Morrningg  just slept for 12 hours and now i have a headache D;,now i have a headache,negative
Morning...tired should i excercise or jus relax need to catch up on sleep..Ladies would you like to see Shemar Moore @ Embassy? Hit me up,Morning...tired should i excercise or jus relax need to catch up on sleep..Ladies would you like to see Shemar Moore @ Embassy? Hit me up,neutral
yea dude... 5`8'! really!?,yea dude... 5`8'! really!?,neutral
Mean people suck.,Mean people suck.,negative
"Man, my sinuses r really buggin me this morning",buggin,negative
 Wahey! Fancy meeting you here  Thanks for the tweet and great to be twittered together,d great,positive
 OMG  Poor Eppy! I hope she is ok. That is so scary and wow I can`t believe no one noticed.,OMG  Poor Eppy! I hope she is ok. That is so scary and wow I can`t believe no one noticed.,neutral
  just wanted to say that I <3 ur music(both the scene aesthetic n Danger Radio) Hopefully i will get to see u guys 1 day,t I <3 ur music,positive
cleaning time,cleaning time,neutral
 ugh! **** it. Today doesn`t look like it`s going to work  i`m sorry,ugh!,negative
 It didn`t start as a long message ... It just got longer when I wrote it,It didn`t start as a long message ... It just got longer when I wrote it,neutral
I`m jumping off the nearest bridge if I can`t have it,I`m jumping off the nearest bridge if I can`t have it,negative
 for sure....I still got 2 hrs till I will be home at the fridge  but then BEER BEER BEER lol,for sure....I still got 2 hrs till I will be home at the fridge  but then BEER BEER BEER lol,neutral
" {{{HUGS}}} Okay, just making sure!",just making sure!,positive
"so im drawing pictures to show how much i miss him. can anyone blame me, hes 4 hours away frm me",im drawing pictures to show how much i miss him.,negative
Anyone want to buy me this anthropomorphic planter called Domsai by Matteo Cibic? http://tinyurl.com/m6sru3 Only available till the 31st,Anyone want to buy me this anthropomorphic planter called Domsai by Matteo Cibic? http://tinyurl.com/m6sru3 Only available till the 31st,neutral
 has just voted for you. hope you win!,hope you win!,positive
Good Morning Everyone. !.!. Time for work,Good Morning Everyone. !.!. Time for work,neutral
ticked off cause i can`t go see 'drag me to hell' with melissa and amber. staying home on a friday night is NOT my thing.,ticked off cause i can`t go see 'drag me to hell' with melissa and amber. staying home on a friday night is NOT my thing.,neutral
I havent ben on here n a while...  sorry but im bac now so hit me hup,sorry,negative
been To beach+ nanny`s Just got back- roast Iater and then Pudding,been To beach+ nanny`s Just got back- roast Iater and then Pudding,neutral
Finally at home. Who decides it`s time for more work at 17:10 on the Friday of a long weekend... apparently my client.,Finally at home. Who decides it`s time for more work at 17:10 on the Friday of a long weekend... apparently my client.,neutral
"Grilled chicken, broccolli, and water.  Yummy and healthy. Well until I put butter on my veggies but whatever",Yummy and healthy.,positive
 thats what i was thinking but the only time it`s gonna be on is 1 am!,thats what i was thinking but the only time it`s gonna be on is 1 am!,neutral
i hate rain and people.,i hate rain and people.,negative
"had a fun time at the concert!  almost got a picture with Taylor Momsen, freakin next in line then she left!","had a fun time at the concert!  almost got a picture with Taylor Momsen, freakin next in line then she left!",positive
 nvm i just got ur message that ur sick,nvm i just got ur message that ur sick,neutral
 no.  I lost the link you sent when I had to pull my battery.,I lost,negative
"partied w/  @_SML, elitecamp, rock steady crew + the ladies (wow), and of course crazy legs - holla! lmao - sober. totally sober","partied w/  @_SML, elitecamp, rock steady crew + the ladies (wow), and of course crazy legs - holla! lmao - sober. totally sober",neutral
No Yonkers news posts until June 2 because the newspaper furloughed me,No Yonkers news posts until June 2 because the newspaper furloughed me,neutral
 i thght i voted bt i dnt think it workd!  Whats the link 2 vote for u! Nobody deserves it more than u do. Ur so talented. I<3U,o talented,positive
 okay thank you! i can`t find it,okay thank you! i,positive
 OMG I WANT TO GO TO THE BEACH!!!,OMG I WANT TO GO TO THE BEACH!!!,neutral
"looking for my sister on facebook, miss you yani",miss,negative
_jackson already there`s none left  back to cabbage soup,_jackson already there`s none left  back to cabbage soup,neutral
Got back from Arizona yesterday.  Moved the furniture and stuff out of the Arizona house and shipped it to Redwood City.    How sad.,How,negative
 am alive   but at work   finish at 1300   sun is out,am alive   but at work   finish at 1300   sun,neutral
Just signed up on Twitter! yay!,yay!,positive
Is watching Bruce almighty,Is watching Bruce almighty,neutral
 Were getting old Donny. I got one starting high school next yr and one going into the 7th. Where have the years gone?!,Were getting old Donny. I got one starting high school next yr and one going into the 7th. Where have the years gone?!,neutral
 happy early mothers day!!!!,happy,positive
is now going to see his very ill uncle on saturday and spend the night at his house as even more bad news has come up,bad,negative
 won`t anyone give poor ernie reyes jr a break?,poor,negative
 I have a friend who loves that spot. I want to go,loves,positive
